c_name, c_model_id, c_year, c_load,c_price1, c_price2, c_price3,c_price4, c_price5, c_price6, c_price7
2004款 RX280 H-DLX双龙雷斯特,16382,2004,16.5635,2.37,2.54,2.88,3.2,3.32,3.68,3.88
2004款 1.6 手动豪华版别克凯越,845,2004,16.2987,0.25,0.28,0.43,0.59,0.65,0.83,0.87
2004款 1.6SX 16V MT雪铁龙爱丽舍,20247,2004,16.2987,0.06,0.1,0.19,0.3,0.34,0.46,0.5
2004款 1.6SX 16V AT雪铁龙爱丽舍,20246,2004,16.2987,0.08,0.1,0.23,0.38,0.44,0.6,0.63
2004款 3.0L 标准型别克君威,19777,2004,16.9919,0.61,0.7,0.87,1.05,1.12,1.31,1.42
2004款 3.0L 旗舰版别克君威,19778,2004,16.9919,0.62,0.71,0.88,1.06,1.13,1.32,1.43
2004款 6.0 AT悍马悍马H2,22547,2004,17.0417,20.58,21.71,23.78,25.7,26.46,28.61,30.04
2004款 2.5L 豪华型别克君威,19780,2004,16.9919,0.62,0.7,0.87,1.04,1.11,1.31,1.41
2004款 2.0L 标准型别克君威,19781,2004,16.9919,0.5,0.57,0.74,0.91,0.98,1.16,1.25
2004款 G 500奔驰奔驰G级,22402,2004,17.0417,10.07,10.38,11.03,11.72,11.99,12.76,13.4
2004款 3.0L 舒适型奥迪奥迪A4,19997,2004,16.9919,1.63,1.85,2.09,2.31,2.39,2.64,2.91
2004款 3.0L 加温型奥迪奥迪A4,206,2004,16.9919,2,2.11,2.36,2.59,2.68,2.94,3.09
2004款 3.0L 豪华型奥迪奥迪A4,201,2004,16.9919,1.74,1.88,2.12,2.34,2.42,2.67,2.84
2004款 1.8L（125马力）奥迪奥迪A6,19603,2004,16.676,1.08,1.32,1.53,1.73,1.81,2.03,2.32
2004款 1.3L OK标准型铃木羚羊,19697,2004,13.7219,0.09,0.1,0.19,0.29,0.33,0.45,0.47
2005款 ML 350奔驰奔驰M级,2062,2005,16.2852,6.26,6.45,6.8,7.21,7.37,7.83,8.22
2004款 2.4沃尔沃沃尔沃S80,16854,2004,16.676,1.64,1.82,2.07,2.3,2.4,2.66,2.87
2004款 1.6L 舒适型奇瑞旗云,21521,2004,16.2987,0.07,0.1,0.2,0.32,0.37,0.5,0.54
2004款 1.6L 豪华型奇瑞旗云,14758,2004,16.2987,0.07,0.1,0.2,0.32,0.36,0.49,0.53
2004款 1.6L 家庭型奇瑞旗云,14757,2004,16.2987,0.06,0.1,0.19,0.31,0.35,0.48,0.55
2005款 ML 500奔驰奔驰M级,2063,2005,16.2852,6.44,6.64,7,7.42,7.59,8.07,8.47
2004款 1.5L HL菲亚特派力奥,6898,2004,13.7219,0.06,0.1,0.2,0.32,0.37,0.51,0.56
2004款 2.5L 手动四驱华泰特拉卡,8871,2004,16.5635,0.96,1.01,1.22,1.44,1.53,1.78,1.87
2004款 6.0L W12大众辉腾,4876,2004,16.6217,8.07,8.32,8.8,9.36,9.59,10.22,10.73
2004款 2.0L 自动基本型大众帕萨特,19647,2004,16.9919,0.65,0.75,0.93,1.11,1.18,1.37,1.5
2004款 1.3L 自动豪华型一汽威姿,18062,2004,13.7219,0.26,0.32,0.48,0.66,0.73,0.93,0.99
2004款 1.3L 自动一汽威乐,22983,2004,13.7219,0.34,0.39,0.56,0.73,0.8,0.99,1.06
2004款 2.0L 手动尊贵型日产蓝鸟,1147164,2004,16.9919,0.61,0.7,0.87,1.05,1.12,1.32,1.42
2004款 2.0L 自动尊贵型日产蓝鸟,1147165,2004,16.9919,0.84,0.96,1.15,1.33,1.41,1.62,1.75
2004款 2.0L 自动旗舰型日产蓝鸟,1147166,2004,16.9919,0.81,0.92,1.11,1.3,1.37,1.58,1.72
2002款 2.8 CM500L双龙主席,21071,2002,17.9173,0.61,0.63,0.81,1.03,1.11,1.35,1.41
2002款 2.8 CM500S双龙主席,21070,2002,17.9173,0.61,0.63,0.81,1.02,1.11,1.34,1.41
2006款 3.2L 顶级版大众途锐,4908,2006,15.4624,8.23,8.73,9.31,9.77,9.95,10.47,11.06
2004款 2.0E 自动日产阳光,15119,2004,16.2987,0.77,0.85,1.03,1.21,1.28,1.48,1.58
2004款 2.0E 手动日产阳光,15117,2004,16.2987,0.62,0.73,0.91,1.08,1.15,1.35,1.48
2004款 2.0LE 自动日产阳光,15120,2004,16.2987,0.77,0.85,1.03,1.21,1.28,1.48,1.58
2004款 2.0LS 自动日产阳光,15121,2004,16.2987,0.77,0.85,1.04,1.22,1.29,1.49,1.59
2005款 Carrera 4S MT 3.8L保时捷保时捷911,2704,2005,12.0124,14.2,14.64,15.46,16.44,16.84,17.94,18.83
2006款 4.2L 顶级版大众途锐,4910,2006,15.4624,8.27,8.86,9.46,9.92,10.11,10.62,11.33
2004款 1.3L OK实用型铃木羚羊,19698,2004,13.7219,0.08,0.1,0.19,0.29,0.33,0.45,0.48
2005款 5.4L林肯领航员,13289,2005,16.2852,7.81,8.55,9.33,10.01,10.27,11.03,11.92
2005款 4.5L 自动GX-R丰田兰德酷路泽,22063,2005,16.2852,13.09,14.09,15.1,15.89,16.21,17.1,18.3
2004款 3.2 AT克莱斯勒交叉火力,11855,2004,12.6386,7.33,7.65,8.37,9.07,9.35,10.13,10.64
2004款 1.3L OK舒适型铃木羚羊,19699,2004,13.7219,0.09,0.1,0.19,0.29,0.34,0.45,0.48
2004款 3.0L LT 豪华版别克别克GL8,1134027,2004,15.47,0.98,1.09,1.29,1.48,1.55,1.77,1.9
2004款 1.3L MT起亚千里马,14133,2004,13.7219,0.07,0.1,0.21,0.33,0.38,0.53,0.56
2004款 1.6L MT起亚千里马,14135,2004,13.7219,0.06,0.1,0.21,0.34,0.39,0.54,0.58
2004款 1.6L AT起亚千里马,14137,2004,13.7219,0.09,0.12,0.25,0.4,0.47,0.63,0.67
2004款 1.6L MT天窗版起亚千里马,14136,2004,13.7219,0.08,0.1,0.21,0.33,0.39,0.53,0.56
2004款 1.6L AT天窗版起亚千里马,14138,2004,13.7219,0.09,0.12,0.26,0.41,0.47,0.64,0.67
2004款 1.6 手动基本大众宝来/宝来经典,4685,2004,16.2987,0.45,0.51,0.67,0.83,0.9,1.09,1.15
2004款 1.6 自动基本大众宝来/宝来经典,4686,2004,16.2987,0.59,0.68,0.85,1.02,1.09,1.29,1.39
2004款 A8L 3.7L奥迪奥迪A8,20019,2004,16.6217,5.24,5.63,6.06,6.42,6.56,6.95,7.42
2004款 4.0L 自动GX丰田普拉多,6620,2004,17.0417,9.86,10.67,11.46,12.09,12.35,13.06,14.02
2004款 730Li宝马宝马7系,19972,2004,16.6217,5.31,5.73,6.17,6.52,6.66,7.06,7.56
2004款 Targa 3.6L保时捷保时捷911,2710,2004,12.6386,11.61,11.97,12.68,13.53,13.87,14.82,15.56
2005款 4.7L 自动VX-R丰田兰德酷路泽,22060,2005,16.2852,13.8,14.61,15.63,16.46,16.79,17.72,18.69
2004款 A8L 4.2L奥迪奥迪A8,331,2004,16.6217,5.33,5.65,6.08,6.44,6.58,6.98,7.37
2004款 2.4L AT丰田普瑞维亚,22029,2004,15.47,4.74,5.01,5.41,5.76,5.9,6.29,6.62
2004款 A8L 3.0L奥迪奥迪A8,329,2004,16.6217,5.07,5.45,5.88,6.22,6.36,6.75,7.21
2004款 Carrera S Coupe 3.6L保时捷保时捷911,2709,2004,12.6386,12.86,13.65,14.69,15.57,15.91,16.89,17.83
2004款 Carrera Coupe MT 3.6L保时捷保时捷911,2705,2004,12.6386,11.98,12.72,13.7,14.51,14.83,15.74,16.63
2004款 735Li宝马宝马7系,19973,2004,16.6217,5.3,5.76,6.2,6.55,6.69,7.09,7.63
2004款 745Li宝马宝马7系,1363,2004,16.6217,6.22,6.51,6.96,7.36,7.52,7.97,8.37
2004款 2.8 V6大众夏朗,22141,2004,15.47,2.52,2.61,2.86,3.12,3.22,3.51,3.68
2006款 Cayenne 3.2L AT保时捷Cayenne,20284,2006,15.4624,9.9,10.54,11.26,11.82,12.04,12.67,13.43
2004款 1.0L 手动标准型铃木北斗星,19866,2004,13.7219,0.07,0.1,0.19,0.3,0.34,0.46,0.49
2004款 Boxster Cabriolet 2.7L保时捷Boxster,20262,2004,12.6386,7.89,8.14,8.73,9.3,9.53,10.18,10.69
2004款 1.8 手动尊贵大众宝来/宝来经典,4688,2004,16.2987,0.46,0.51,0.68,0.84,0.91,1.1,1.16
2004款 1.8 自动尊贵大众宝来/宝来经典,4695,2004,16.2987,0.66,0.75,0.92,1.1,1.17,1.36,1.47
2004款 1.8 手动豪华大众宝来/宝来经典,4689,2004,16.2987,0.45,0.51,0.67,0.84,0.91,1.09,1.16
2004款 3.2欧宝威达,13915,2004,16.9919,0.94,1.02,1.23,1.46,1.55,1.8,1.89
2004款 1.8 自动舒适大众宝来/宝来经典,4693,2004,16.2987,0.65,0.73,0.9,1.08,1.15,1.34,1.44
2004款 1.8 手动舒适大众宝来/宝来经典,4687,2004,16.2987,0.45,0.51,0.67,0.84,0.9,1.09,1.16
2004款 1.8T 自动豪华大众宝来/宝来经典,4697,2004,16.2987,0.63,0.72,0.89,1.07,1.14,1.33,1.44
2004款 1.8T 手动舒适大众宝来/宝来经典,4690,2004,16.2987,0.48,0.55,0.72,0.89,0.95,1.14,1.22
2004款 1.6 COOPERMINIMINI,13720,2004,13.7219,3.12,3.49,3.81,4.09,4.21,4.52,4.96
2004款 S 350奔驰奔驰S级,2042,2004,16.6217,5.11,5.77,6.21,6.57,6.71,7.11,7.9
2004款 3.0i宝马宝马Z4,21642,2004,12.6386,5.35,5.67,6.1,6.46,6.61,7.01,7.39
2004款 1.3L Speedgear HLX菲亚特周末风,6939,2004,13.7219,0.11,0.17,0.32,0.48,0.55,0.73,0.8
2004款 1.5L HL菲亚特周末风,6940,2004,13.7219,0.07,0.1,0.21,0.34,0.39,0.53,0.57
2004款 3.0L 自动四驱GLS三菱帕杰罗速跑,22759,2004,16.5635,2.23,2.39,2.69,2.96,3.07,3.38,3.57
2006款 4.4i宝马宝马X5,20070,2006,15.4624,7.43,7.94,8.47,8.88,9.05,9.51,10.11
2004款 325i宝马宝马3系,19522,2004,16.9919,2.38,2.57,2.84,3.08,3.18,3.45,3.68
2004款 2.2L 两驱豪华型长城赛弗,3535,2004,14.8902,0.07,0.1,0.22,0.36,0.42,0.57,0.61
2004款 4.6 V8 VVT凯迪拉克凯迪拉克SRX,11721,2004,16.5635,4.3,4.43,4.73,5.08,5.22,5.61,5.89
2004款 2.4L 自动四驱经典型三菱欧蓝德经典,15665,2004,14.8902,1.29,1.46,1.69,1.91,1.99,2.24,2.45
2006款 Cayenne Turbo 4.5T保时捷Cayenne,20281,2006,15.4624,11.03,11.81,12.62,13.25,13.5,14.2,15.14
2006款 Cayenne S 4.5L AT保时捷Cayenne,20282,2006,15.4624,10.1,10.99,11.74,12.33,12.56,13.21,14.28
2004款 1.8L 自动舒适型大众桑塔纳志俊,21204,2004,16.9919,0.26,0.32,0.47,0.63,0.69,0.87,0.95
2004款 3.0L V6本田雅阁,19592,2004,16.9919,1.4,1.7,1.92,2.13,2.22,2.46,2.81
2004款 2.4L本田雅阁,19593,2004,16.9919,1.34,1.66,1.89,2.1,2.18,2.42,2.81
2004款 三厢 1.3L 手动本田飞度,752,2004,13.7219,0.5,0.56,0.72,0.89,0.96,1.15,1.22
2004款 三厢 1.3L CVT本田飞度,753,2004,13.7219,0.73,0.86,1.04,1.22,1.3,1.5,1.65
2004款 1.3L 豪华天窗版一汽威姿,18063,2004,13.7219,0.27,0.33,0.5,0.67,0.74,0.94,1.01
2004款 2.4L 豪华型本田奥德赛,19728,2004,15.47,1.65,1.84,2.07,2.29,2.38,2.62,2.84
2004款 2.0 AT本田时韵,1142473,2004,15.47,1.45,1.57,1.84,2.09,2.19,2.47,2.63
2004款 1.6L 自动舒适型福特嘉年华,6136,2004,13.7219,0.14,0.19,0.33,0.49,0.55,0.72,0.78
2004款 1.6L 手动基本型福特嘉年华,6132,2004,13.7219,0.06,0.1,0.24,0.39,0.45,0.61,0.66
2004款 2.3L 自动技术型马自达马自达6,13518,2004,16.9919,1.2,1.45,1.66,1.86,1.94,2.17,2.46
2004款 1.6L X雪铁龙爱丽舍,20245,2004,16.2987,0.08,0.1,0.19,0.3,0.34,0.46,0.49
2004款 1.6本田思域,28977,2004,16.2987,1.08,1.16,1.35,1.54,1.62,1.84,1.93
2004款 1.3L 自动OK天窗型铃木羚羊,12107,2004,13.7219,0.15,0.17,0.31,0.46,0.52,0.7,0.73
2004款 2.4LJeep牧马人,10035,2004,16.5635,6.54,6.77,7.22,7.65,7.83,8.31,8.73
2004款 4.1 Signature林肯城市,13308,2004,16.6217,4.91,5.06,5.54,6.03,6.23,6.78,7.12
2004款 2.0 选装型雪铁龙雪铁龙C5(进口),21858,2004,16.9919,0.75,0.83,1.01,1.19,1.26,1.46,1.56
2004款 2.0 标准型雪铁龙雪铁龙C5(进口),21859,2004,16.9919,0.81,0.86,1.04,1.22,1.3,1.5,1.58
2004款 TT Roadster 1.8T奥迪奥迪TT,30625,2004,12.6386,4.33,4.76,5.16,5.48,5.61,5.97,6.49
2004款 470雷克萨斯雷克萨斯GX,23948,2004,17.0417,10.49,10.82,11.58,12.49,12.85,13.87,14.56
2004款 FX45英菲尼迪英菲尼迪FX,19348,2004,17.0417,5.35,5.51,5.9,6.31,6.47,6.93,7.28
2004款 2.0L 手动标准型雪铁龙赛纳,20121,2004,16.2987,0.13,0.17,0.33,0.49,0.56,0.74,0.79
2004款 1.6L VTS雪铁龙爱丽舍,20244,2004,16.2987,0.08,0.1,0.19,0.3,0.35,0.47,0.5
2004款 新浪潮 1.6L 自动舒适型雪铁龙富康,17759,2004,16.2987,0.07,0.11,0.25,0.4,0.46,0.63,0.69
2004款 1.6L 新全选+CD大众桑塔纳经典,19549,2004,16.9919,0.09,0.13,0.26,0.41,0.47,0.64,0.68
2004款 2.0L 自动豪华型雪铁龙赛纳,20120,2004,16.2987,0.29,0.35,0.51,0.69,0.76,0.95,1.02
